metric,model_a,mode_a,pooling_a,model_b,mode_b,pooling_b,5way_auc_a,5way_auc_b,diff,diff_ci_lo,diff_ci_hi,p_value
5way_auc,cinema_pretrained,ft-frozen,gap,sam_vit_base,ft-full,gap,0.9000,0.7580,0.1420,0.0463,0.2277,0.0000
5way_auc,dinov3_vitb16,logreg,cls,dinov3_vits16,logreg,cls,0.9020,0.8275,0.0745,0.0287,0.1279,0.0000
5way_auc,cinema_pretrained,ft-full,cls,dinov3_vits16,ft-full,gap,0.8982,0.6385,0.2597,0.1487,0.3513,0.0000
5way_auc,dinov3_vitb16,logreg,cls,dinov3_vits16,ft-full,gap,0.9020,0.6385,0.2635,0.1486,0.3617,0.0000
5way_auc,dinov3_vitb16,logreg,cls,dinov3_vits16,ft-frozen,gap,0.9020,0.8360,0.0660,0.0157,0.1163,0.0000
5way_auc,cinema_pretrained,ft-full,gap,sam_vit_large,logreg,gap,0.6232,0.8255,-0.2022,-0.2938,-0.1047,0.0000
5way_auc,dinov3_vit7b16,logreg,cls,dinov3_vits16,ft-full,gap,0.8570,0.6385,0.2185,0.1134,0.3093,0.0000
5way_auc,dinov3_vitl16,logreg,cls,sam_vit_base,ft-full,gap,0.8675,0.7580,0.1095,0.0296,0.1902,0.0000
5way_auc,dinov3_vit7b16,logreg,gap,dinov3_vitb16,ft-full,cls,0.8675,0.6890,0.1785,0.0802,0.2806,0.0000
5way_auc,dinov3_vits16,ft-frozen,cls,dinov3_vits16,ft-full,gap,0.8420,0.6385,0.2035,0.0828,0.3192,0.0000
5way_auc,dinov3_vitb16,logreg,gap,dinov3_vits16,ft-frozen,gap,0.9105,0.8360,0.0745,0.0186,0.1291,0.0000
5way_auc,dinov3_vitb16,logreg,gap,dinov3_vits16,ft-full,gap,0.9105,0.6385,0.2720,0.1697,0.3665,0.0000
5way_auc,cinema_pretrained,ft-full,cls,dinov3_vitb16,ft-full,cls,0.8982,0.6890,0.2092,0.0823,0.2928,0.0000
5way_auc,dinov3_vitl16,logreg,cls,dinov3_vits16,ft-full,gap,0.8675,0.6385,0.2290,0.1259,0.3233,0.0000
5way_auc,dinov3_vits16,ft-frozen,gap,dinov3_vits16,ft-full,gap,0.8360,0.6385,0.1975,0.0758,0.3075,0.0000
5way_auc,dinov3_vit7b16,logreg,gap,dinov3_vits16,ft-full,gap,0.8675,0.6385,0.2290,0.1309,0.3195,0.0000
5way_auc,cinema_pretrained,logreg,cls,dinov3_vitb16,ft-full,cls,0.8935,0.6890,0.2045,0.1048,0.2913,0.0000
5way_auc,dinov3_vitb16,ft-frozen,cls,dinov3_vitb16,ft-full,cls,0.9090,0.6890,0.2200,0.1067,0.3157,0.0000
5way_auc,dinov3_vits16,ft-full,cls,dinov3_vits16,ft-full,gap,0.8125,0.6385,0.1740,0.0777,0.2753,0.0000
5way_auc,cinema_pretrained,ft-full,cls,cinema_pretrained,ft-full,gap,0.8982,0.6232,0.2750,0.2102,0.3423,0.0000
5way_auc,dinov3_vitb16,ft-frozen,cls,dinov3_vits16,ft-frozen,gap,0.9090,0.8360,0.0730,0.0212,0.1238,0.0000
5way_auc,dinov3_vitb16,ft-frozen,cls,dinov3_vits16,ft-full,gap,0.9090,0.6385,0.2705,0.1541,0.3688,0.0000
5way_auc,dinov3_vitb16,ft-frozen,cls,dinov3_vits16,logreg,cls,0.9090,0.8275,0.0815,0.0288,0.1326,0.0000
5way_auc,cinema_pretrained,ft-full,gap,dinov3_vits16,logreg,gap,0.6232,0.8280,-0.2048,-0.3005,-0.0996,0.0000
5way_auc,dinov3_vitb16,logreg,cls,dinov3_vits16,logreg,gap,0.9020,0.8280,0.0740,0.0229,0.1217,0.0000
5way_auc,dinov3_vitb16,ft-frozen,cls,dinov3_vits16,logreg,gap,0.9090,0.8280,0.0810,0.0271,0.1335,0.0000
5way_auc,dinov3_vitl16,logreg,gap,dinov3_vits16,ft-full,gap,0.8500,0.6385,0.2115,0.1135,0.3058,0.0000
5way_auc,cinema_pretrained,ft-full,gap,sam_vit_large,ft-frozen,gap,0.6232,0.8405,-0.2172,-0.3066,-0.1101,0.0000
5way_auc,cinema_pretrained,ft-full,gap,dinov3_vits16,logreg,cls,0.6232,0.8275,-0.2043,-0.3063,-0.0868,0.0000
5way_auc,cinema_pretrained,ft-full,gap,sam_vit_base,ft-full,gap,0.6232,0.7580,-0.1348,-0.2243,-0.0488,0.0000
5way_auc,cinema_pretrained,ft-full,gap,dinov3_vits16,ft-full,cls,0.6232,0.8125,-0.1893,-0.2793,-0.0907,0.0000
5way_auc,cinema_pretrained,ft-full,gap,dinov3_vits16,ft-frozen,gap,0.6232,0.8360,-0.2127,-0.3055,-0.1073,0.0000
