Backbone,Model,Embed Dim,Decoder,Probe Layers,Trainable Params,BG Dice,LV Dice,MYO Dice,RV Dice,Macro Dice,Best Val Dice,Best Epoch
CineMA,cinema_pretrained,768,Linear,0,4612,0.9779,0.7712,0.5214,0.6233,0.6386,0.6804,77
CineMA,cinema_pretrained,768,Conv,0,1033220,0.9792,0.7884,0.5487,0.6492,0.6621,0.7140,82
CineMA,cinema_pretrained,768,UNETR,"3,6,9,11",39083302,0.9909,0.9248,0.8119,0.8526,0.8631,0.8837,56
Dino,dinov3_vitb16,768,Linear,11,4612,0.9853,0.8359,0.6378,0.7670,0.7469,0.7564,56
Dino,dinov3_vitl16,1024,Linear,23,6148,0.9856,0.8457,0.6387,0.7741,0.7528,0.7556,58
Dino,dinov3_vits16,384,Linear,11,2308,0.9834,0.8150,0.6011,0.7289,0.7150,0.7255,74
Dino,dinov3_vitb16,768,Conv,"3,6,9,11",3687428,0.9910,0.9147,0.7840,0.8612,0.8533,0.8620,46
Dino,dinov3_vitl16,1024,Conv,"5,11,17,23",4867076,0.9911,0.9149,0.7861,0.8667,0.8559,0.8642,45
Dino,dinov3_vits16,384,Conv,"3,6,9,11",1917956,0.9906,0.9106,0.7787,0.8574,0.8489,0.8586,45
Dino,dinov3_vitb16,768,UNETR,"3,6,9,11",41338788,0.9906,0.9119,0.7830,0.8607,0.8519,0.8682,35
Dino,dinov3_vitl16,1024,UNETR,"5,11,17,23",48220068,0.9905,0.9129,0.7767,0.8612,0.8503,0.8679,25
Dino,dinov3_vits16,384,UNETR,"3,6,9,11",31016868,0.9907,0.9114,0.7816,0.8568,0.8500,0.8667,47
SAM2,sam2_1_hiera_base_plus,448,Linear,21,2692,0.9833,0.8369,0.6278,0.7344,0.7330,0.7397,49
SAM2,sam2_1_hiera_large,576,Linear,44,3460,0.9845,0.8541,0.6577,0.7525,0.7547,0.7639,96
SAM2,sam2_1_hiera_small,384,Linear,14,2308,0.9841,0.8497,0.6410,0.7325,0.7411,0.7488,65
SAM2,sam2_1_hiera_base_plus,448,Conv,"6,11,16,21",2212868,0.9890,0.9010,0.7617,0.8325,0.8317,0.8399,73
SAM2,sam2_1_hiera_large,576,Conv,"9,21,33,44",2802692,0.9898,0.9077,0.7724,0.8446,0.8416,0.8506,83
SAM2,sam2_1_hiera_small,384,Conv,"4,7,11,14",1917956,0.9891,0.9052,0.7623,0.8371,0.8349,0.8422,67
SAM2,sam2_1_hiera_base_plus,448,UNETR,"6,11,16,21",32737188,0.9903,0.9090,0.7701,0.8531,0.8441,0.8633,34
SAM2,sam2_1_hiera_large,576,UNETR,"9,21,33,44",36177828,0.9905,0.9154,0.7767,0.8572,0.8498,0.8647,27
SAM2,sam2_1_hiera_small,384,UNETR,"4,7,11,14",31016868,0.9905,0.9141,0.7775,0.8516,0.8477,0.8587,30
